StatLevel/internal05,"老陽"
StatLevel/internal04,"少陽"
StatLevel/internal03,"調和"
StatLevel/internal02,"少陰"
StatLevel/internal01,"老陰"
StatLevel/mental03,"快樂"
StatLevel/mental02,"平靜"
StatLevel/mental01,"憂鬱"
StatLevel/training05,"君子"
StatLevel/training04,"沉著"
StatLevel/training03,"中庸"
StatLevel/training02,"暴躁"
StatLevel/training01,"瘋狂"
StatLevel/behaviour05,"粗魯"
StatLevel/behaviour04,"豪爽"
StatLevel/behaviour03,"中庸"
StatLevel/behaviour02,"知禮"
StatLevel/behaviour01,"矯情"
StatLevel/disposition05,"莽夫"
StatLevel/disposition04,"勇敢"
StatLevel/disposition03,"中庸"
StatLevel/disposition02,"謹慎"
StatLevel/disposition01,"懦夫"
StatLevel/karma05,"俠客"
StatLevel/karma04,"好人"
StatLevel/karma03,"中庸"
StatLevel/karma02,"壞人"
StatLevel/karma01,"惡棍"
PlayerStatDesc/paralysis-value,"暗器擊中麻痺累積值。"
PlayerStatDesc/poison-value,"暗器擊中毒藥累積值。"
PlayerStatDesc/combat-weapon-dice,"爆發：影響暗器的骰子。"
PlayerStatDesc/combat-weapon,"暗器：暗器的威力。"
PlayerStatDesc/combat-attack-dice,"爆發：影響攻擊的骰子。"
PlayerStatDesc/combat-ultimate,"絕招：絕招的威力。"
PlayerStatDesc/combat-defence,"防禦：備揍減傷率、格檔率。"
PlayerStatDesc/combat-attack,"攻擊：基礎殺傷力。"
PlayerStatDesc/martial-point,"武學點數。[修練秘笈使用]"
PlayerStatDesc/assets,"門派的資產。"
PlayerStatDesc/team,"門派的向心力。"
PlayerStatDesc/fame,"門派的名聲。"
PlayerStatDesc/people,"門派的門人數量。"
PlayerStatDesc/poison,"煉丹點數。[煉丹房使用]"
PlayerStatDesc/weapon,"鍛造點數。[鍛冶場使用]"
PlayerStatDesc/mental,"影響鍛冶、煉丹、修練活動成功率。"
PlayerStatDesc/charisma,"你所沒有的某種東西。"
PlayerStatDesc/literacy,"學習所得的知識。"
PlayerStatDesc/talking,"說話的才能，影響嘴攻效果。"
PlayerStatDesc/paralysis-resistance,"影響神經毒的抗性、代謝率。"
PlayerStatDesc/poison-resistance,"影響血毒的抗性、代謝率。"
PlayerStatDesc/m-projectile,"影響暗器的威力、爆擊。"
PlayerStatDesc/m-fist,"影響攻擊力(小)、影響防禦(大)。"
PlayerStatDesc/m-sword,"影響攻擊力(大)。"
PlayerStatDesc/dexterity,"影響迴避機率、絕招威力（中）、戰役移動速度。"
PlayerStatDesc/stamina,"影響攻擊力(中)、絕招威力(中)、戰役回氣速度。"
PlayerStatDesc/life,"影響生命、絕招威力（小）。"
PlayerStat/combat-weapon-dice,"暗器爆發"
PlayerStat/combat-weapon,"暗器威力"
PlayerStat/combat-attack-dice,"爆發"
PlayerStat/combat-ultimate,"絕招"
PlayerStat/combat-defence,"防禦"
PlayerStat/combat-attack,"攻擊"
PlayerStat/lover,"心上人"
PlayerStat/battle-people,"門人數量"
PlayerStat/default-battle-hp,"門人血量"
PlayerStat/relationship,"好感度"
PlayerStat/xingyi,"形意拳"
PlayerStat/buddhism,"釋學"
PlayerStat/taoism,"道學"
PlayerStat/confucianism,"儒學"
PlayerStat/paralysis-value,"麻痺"
PlayerStat/poison-value,"毒藥"
PlayerStat/m-internal,"內功"
PlayerStat/m-stick,"槍棍"
PlayerStat/m-soft,"軟兵器"
PlayerStat/m-odd,"奇門"
PlayerStat/m-leg,"腿法"
PlayerStat/m-fist,"拳掌"
PlayerStat/m-projectile,"暗器"
PlayerStat/m-sword,"刀劍"
PlayerStat/assets,"門派資產"
PlayerStat/martial-point,"武學"
PlayerStat/paralysis-resistance,"抗麻"
PlayerStat/poison-resistance,"抗毒"
PlayerStat/action2,"行動"
PlayerStat/action,"行動次數"
PlayerStat/change-heart,"變心"
PlayerStat/internal,"陰陽"
PlayerStat/contribution,"貢獻度"
PlayerStat/poison,"煉丹"
PlayerStat/weapon,"鍛造"
PlayerStat/faction,"門派規模"
PlayerStat/team,"向心"
PlayerStat/people,"門人"
PlayerStat/fame,"名聲"
PlayerStat/talking,"嘴力"
PlayerStat/karma,"道德"
PlayerStat/training,"修養"
PlayerStat/behaviour,"處世"
PlayerStat/disposition,"性情"
PlayerStat/fate,"命運"
PlayerStat/mental,"心相"
PlayerStat/literacy,"學問"
PlayerStat/charisma,"魅力"
PlayerStat/dexterity,"輕功"
PlayerStat/stamina,"內力"
PlayerStat/life,"體力"
PlayerStat/money,"銀兩"
Character/echo,"回音"
Character/horse_man_1,"馬面"
Character/cow_man_1,"牛頭"
Character/wolf1,"狼"
Character/pig1,"野豬"
Character/parrot1,"鸚鵡"
Character/horse1,"馬"
Character/monkey1,"猴子"
Character/chicken3,"雞"
Character/chicken2,"雞"
Character/chicken1,"雞"
Character/dog1,"狗"
Character/firebird1,"火閃電"
Character/tank1,"虎戰車"
Character/mega_player,"百萬趙活"
Character/mom1,"趙活的娘"
Character/sedan_talker_1,"轎中人"
Character/people1,"眾人"
Character/boy1,"少年"
Character/child_boy2,"男童"
Character/child_boy1,"男童"
Character/child_girl2,"女童"
Character/child_girl1,"女童"
Character/artists,"武師眾"
Character/artist2,"武師"
Character/artist1,"武師"
Character/hero2,"少俠"
Character/hero1,"少俠"
Character/merchant1,"商人"
Character/sir1,"先生"
Character/shopman1,"掌櫃"
Character/fairy1,"仙姑"
Character/lady1,"店家娘子"
Character/woodcutter1,"樵夫"
Character/aunt3,"大媽"
Character/aunt2,"大媽"
Character/aunt1,"大媽"
Character/female3,"女子"
Character/female2,"女子"
Character/female1,"女子"
Character/women4,"婦人"
Character/women3,"婦人"
Character/women2,"婦人"
Character/women1,"婦人"
Character/retainer3,"家丁"
Character/retainer2,"家丁"
Character/retainer1,"家丁"
Character/women411,"南宮婦人"
Character/elder101,"南宮老人"
Character/elder1,"老人"
Character/master99,"絕世高手"
Character/blacksmith3,"鐵匠"
Character/blacksmith2,"鐵匠"
Character/blacksmith1,"鐵匠"
Character/soldier83,"吐蕃士兵"
Character/soldier82,"吐蕃士兵"
Character/soldier81,"吐蕃士兵"
Character/soldier73,"大理士兵"
Character/soldier72,"大理士兵"
Character/soldier71,"大理士兵"
Character/soldier63,"西夏士兵"
Character/soldier62,"西夏士兵"
Character/soldier61,"西夏士兵"
Character/soldier51,"蒙古摔角手"
Character/soldier42,"蒙古兵"
Character/soldier41,"蒙古兵"
Character/soldier23,"金士兵"
Character/soldier22,"金士兵"
Character/soldier21,"金士兵"
Character/magistrate1,"知縣"
Character/judgment1,"通判"
Character/guard1,"捕快"
Character/soldier31,"老將軍"
Character/soldier3,"官兵"
Character/soldier2,"官兵"
Character/soldier1,"官兵"
Character/pirate3,"海盜"
Character/pirate2,"海盜"
Character/pirate1,"海盜"
Character/doctor1,"大夫"
Character/student3,"童生"
Character/student2,"童生"
Character/student1,"童生"
Character/scholar2,"書生"
Character/scholar1,"書生"
Character/guest1,"賓客"
Character/showgirl1,"女樂"
Character/stone_trainees,"飛石幫眾"
Character/stone_trainee_4,"飛石幫"
Character/stone_trainee_3,"飛石幫"
Character/stone_trainee_2,"飛石幫"
Character/stone_trainee_1,"飛石幫"
Character/stranger3,"路人"
Character/stranger2,"路人"
Character/stranger1,"路人"
Character/snake1,"蛇"
Character/bandit5,"山賊"
Character/bandit4,"山賊"
Character/bandit3,"山賊"
Character/bandit2,"山賊"
Character/bandit1,"山賊"
Character/badguy3,"歹人"
Character/badguy2,"歹人"
Character/badguy1,"歹人"
Character/mask3,"蒙面人"
Character/mask2,"蒙面人"
Character/mask1,"蒙面人"
Character/ranger_girl1,"女俠"
Character/ranger_group,"武林盟群俠"
Character/ranger5,"路人俠"
Character/ranger4,"公子俠"
Character/ranger3,"路人俠"
Character/ranger2,"路人俠"
Character/ranger1,"路人俠"
Character/oldbeggar2,"老乞丐"
Character/oldbeggar1,"老乞丐"
Character/beggar5,"乞丐"
Character/beggar4,"乞丐"
Character/beggar3,"乞丐"
Character/beggar2,"乞丐"
Character/beggar1,"乞丐"
Character/waiter3,"店小二"
Character/waiter2,"店小二"
Character/waiter1,"店小二"
Character/chao1,"何大媽"
Character/lee1,"李大夫"
Character/daoshi341,"全真長老"
Character/daoshi313,"青城長老"
Character/daoshi312,"青城長老"
Character/daoshi311,"青城長老"
Character/monk2,"老和尚"
Character/monk1,"老和尚"
Character/ghost3,"鬼卒"
Character/ghost2,"鬼卒"
Character/ghost1,"鬼卒"
Character/dio1,"狄傲"
Character/big_trainee_girl_1,"唐嬌嬌"
Character/big_shock1,"許大鯨"
Character/big_trainee_2,"唐大鯨"
Character/big_trainee_1,"唐門弟子"
Character/trainee_girl10,"唐門女弟子"
Character/trainee_girl9,"唐門女弟子"
Character/trainee_girl8,"唐門女弟子"
Character/trainee_girl7,"唐門女弟子"
Character/trainee_girl6,"唐門女弟子"
Character/trainee_girl5,"唐門女弟子"
Character/trainee_girl4,"唐門女弟子"
Character/trainee_girl3,"唐門女弟子"
Character/trainee_girl2,"唐門女弟子"
Character/trainee_girl1,"唐門女弟子"
Character/trainee496,"錦香弟子"
Character/trainee495,"錦香弟子"
Character/trainee494,"錦香弟子"
Character/trainee493,"錦香弟子"
Character/trainee492,"錦香弟子"
Character/trainee491,"錦香弟子"
Character/trainee422,"峨嵋女弟子"
Character/trainee421,"峨嵋女弟子"
Character/trainee402,"點蒼女弟子"
Character/trainee401,"點蒼女弟子"
Character/trainee371,"嶺南女弟子"
Character/trainee363,"嶺南弟子"
Character/trainee362,"嶺南弟子"
Character/trainee361,"嶺南弟子"
Character/trainee353,"銅人"
Character/trainee352,"銅人"
Character/trainee351,"銅人"
Character/trainee345_1,"全真弟子"
Character/trainee345,"全真弟子"
Character/trainee344,"全真弟子"
Character/trainee343,"全真弟子"
Character/trainee342,"全真弟子"
Character/trainee341,"全真弟子"
Character/trainee335_1,"嵩山弟子"
Character/trainee335,"嵩山弟子"
Character/trainee334,"嵩山弟子"
Character/trainee333,"嵩山弟子"
Character/trainee332,"嵩山弟子"
Character/trainee331,"嵩山弟子"
Character/trainee324,"峨嵋弟子"
Character/trainee323_1,"峨嵋弟子"
Character/trainee323,"峨嵋弟子"
Character/trainee322,"峨嵋弟子"
Character/trainee321,"峨嵋弟子"
Character/trainee317,"青城弟子"
Character/trainee316,"青城弟子"
Character/trainee315,"青城弟子"
Character/trainee314,"青城弟子"
Character/trainee313,"青城弟子"
Character/trainee312,"青城弟子"
Character/trainee311,"青城弟子"
Character/trainee305,"點蒼弟子"
Character/trainee304,"點蒼弟子"
Character/trainee303,"點蒼弟子"
Character/trainee302,"點蒼弟子"
Character/trainee301,"點蒼弟子"
Character/trainee234,"玄功弟子"
Character/trainee233,"玄功弟子"
Character/trainee232,"玄功弟子"
Character/trainee231,"玄功弟子"
Character/trainee224,"奪魄弟子"
Character/trainee223,"奪魄弟子"
Character/trainee222,"奪魄弟子"
Character/trainee221,"奪魄弟子"
Character/trainee215_1,"鐵拳弟子"
Character/trainee215,"鐵拳弟子"
Character/trainee214,"鐵拳弟子"
Character/trainee213,"鐵拳弟子"
Character/trainee212,"鐵拳弟子"
Character/trainee211,"鐵拳弟子"
Character/trainee204,"飛天弟子"
Character/trainee203,"飛天弟子"
Character/trainee202,"飛天弟子"
Character/trainee201,"飛天弟子"
Character/trainee122,"泥教弟子"
Character/trainee121,"泥教弟子"
Character/trainee113,"滄幫弟子"
Character/trainee112,"滄幫弟子"
Character/trainee111,"滄幫弟子"
Character/trainee104,"南宮家丁"
Character/trainee103,"南宮家丁"
Character/trainee102,"南宮家丁"
Character/trainee101,"南宮家丁"
Character/trainees,"唐門眾弟子"
Character/trainee030,"唐門弟子"
Character/trainee024,"唐門弟子"
Character/trainee023,"唐門弟子"
Character/trainee022,"唐門弟子"
Character/trainee021,"唐門弟子"
Character/trainee020,"唐門弟子"
Character/trainee012,"唐門弟子"
Character/trainee011,"唐門弟子"
Character/trainee010,"唐門弟子"
Character/trainee9,"唐門弟子"
Character/trainee8,"唐門弟子"
Character/trainee7,"唐門弟子"
Character/trainee6,"唐門弟子"
Character/trainee5,"唐門弟子"
Character/trainee4,"唐門弟子"
Character/trainee3,"唐門弟子"
Character/trainee2,"唐門弟子"
Character/trainee1,"唐門弟子"
Character/girl_group1,"崆峒四姝"
Character/girl9,"上官螢"
Character/girl8_1,"魏菊"
Character/girl8,"魏菊"
Character/girl8_0,"少女"
Character/girl7_2,"郁竹"
Character/girl7_1,"郁竹"
Character/girl7,"郁竹"
Character/girl6_2,"夏侯蘭"
Character/girl6_1,"夏侯蘭"
Character/girl6,"夏侯蘭"
Character/girl5_6,"虞小梅"
Character/girl5_5,"虞小梅"
Character/girl5_4,"虞小梅"
Character/girl5_3,"女飛賊"
Character/girl5_2,"虞小梅"
Character/girl5,"虞小梅"
Character/girl4_2,"龍湘"
Character/girl4,"龍湘"
Character/girl4_1,"少女"
Character/girl3,"夏玉蓮(暫)"
Character/girl3_1,"？？？"
Character/girl2_5,"葉雲裳"
Character/girl2_4,"葉雲啾"
Character/girl2_3_1,"葉雲舟（？）"
Character/girl2_3,"？？？"
Character/girl2_2,"葉雲裳"
Character/girl2,"葉雲裳"
Character/girl2_1,"少女"
Character/girl1,"瑞杏"
Character/girl1_1,"？？？"
Character/special999_1,"白衣少年"
Character/special999,"瑞笙"
Character/special999_0,"？？？"
Character/special410,"方丈"
Character/special409,"車軒轅"
Character/special408,"向無憂"
Character/special407,"上官隼"
Character/special406,"無名"
Character/special405,"申屠龍"
Character/special404,"丹霞子"
Character/special403,"趙逵"
Character/special402_3,"蘇迎香"
Character/special402_2,"溫夫人"
Character/special402_1,"溫夫人"
Character/special402,"溫夫人"
Character/special401,"王二壯"
Character/special213_0,"？？？"
Character/special212_2,"吳鄉"
Character/special212_1,"無相祖師"
Character/special212,"鐵冠道人"
Character/special211_1,"李紫穹"
Character/special211,"李紫穹"
Character/special210,"成吉思汗"
Character/special209,"丘處機"
Character/special208_1,"晁和"
Character/special208,"晁和"
Character/special207_1,"金烏上人"
Character/special207,"金烏上人"
Character/special206_2,"福韞"
Character/special206,"福韞"
Character/special205,"尹志平"
Character/special204,"火龍仙君"
Character/special203,"聽海生"
Character/special202,"觀雲客"
Character/special201,"鄒博"
Character/special104,"南宮橫"
Character/special103,"南宮淺"
Character/special102_1,"南宮深"
Character/special102,"南宮深"
Character/special101,"南宮遠"
Character/special837,"方獨弱"
Character/special836,"段婉清"
Character/special835_1,"南宮己"
Character/special835,"南宮己"
Character/special834,"段智秀"
Character/special833,"南宮秀"
Character/special832,"唐芳"
Character/special831,"孟仙謠"
Character/special830,"梁有詩"
Character/special829,"南溪"
Character/special828,"余公子"
Character/special827,"滄幫幫主"
Character/special826,"釋明"
Character/special825,"夏靈犀"
Character/special824,"荊紅"
Character/special823,"袁無憲"
Character/special822,"呼延菊"
Character/special821,"夏侯梅"
Character/special820,"第三香"
Character/special819,"完顏珣"
Character/special818,"書蓉"
Character/special817,"趙擴"
Character/special816,"破戒僧"
Character/special815,"石夫人"
Character/special814,"萬勝"
Character/special813_2,"畫中仙"
Character/special813_1,"畫中仙"
Character/special813,"畫中仙"
Character/special812_1,"唐守鴻"
Character/special812,"唐守鴻"
Character/special811,"唐衫"
Character/special810,"樂屏"
Character/special809,"李富貴"
Character/special808_0,"？？？"
Character/special808,"解無塵"
Character/special807,"呂翁"
Character/special806,"勾魂叟"
Character/special805,"鶴手"
Character/special805_0,"？？？"
Character/special804,"雷謙"
Character/special803,"江行老"
Character/special803_0,"商人"
Character/special802,"辛儒"
Character/special802_0,"？？？"
Character/special801,"譚霸刀"
Character/special800,"宋悲"
Character/special7,"石公遠"
Character/special6,"萬里鵬程"
Character/special6_1,"？？？"
Character/special5,"崑崙奴"
Character/special5_1,"？？？"
Character/special4,"樊嘯天"
Character/special3_2,"葉雲舟"
Character/special3,"葉雲舟"
Character/special3_1,"斗笠人"
Character/special2,"龍淵"
Character/special2_1,"？？？"
Character/special1,"劉顎"
Character/special1_1,"玄衣少年"
Character/sister1,"唐默鈴"
Character/master,"唐中翎"
Character/brother4,"唐惟元"
Character/brother3_young,"唐陞"
Character/brother3,"唐陞"
Character/brother2_young,"少年唐錚"
Character/brother2,"唐錚"
Character/brother1_young,"少年唐布衣"
Character/brother1_2,"唐布衣"
Character/brother1,"唐布衣"
Character/brother1_1,"蒙面人"
Character/brother1_0,"？？？"
Character/player_section,"趙活"
Character/player_old,"趙活"
Character/player_child,"幼年趙活"
Character/player_young,"少年趙活"
Character/player_ass,"趙活屁股"
Character/player_soul,"趙活"
Character/player_imagine,"趙活"
Character/player,"趙活"
Character/unknown,"？？？"
Story/D_8_2_6_2_5_001,"呼……。"
Story/D_8_2_6_2_4_029,"不必怕，他們已經元氣大傷，我們能贏！"
Story/D_8_2_6_2_4_028,"不必怕，他們已經元氣大傷，隨我出門揍人！"
Story/D_8_2_6_2_4_027,"時機成熟了，開門主動出擊，把他們推離外堡！ 戰線控制在堡內師弟妹可以發暗器支援的範圍！"
Story/D_8_2_6_2_4_026,"切記窮寇莫追，不要遠離外堡！逃竄上山的也莫理會！ 全力防守，削弱武林盟，才是我等職責所在！"
Story/D_8_2_6_2_4_025,"他們銳氣已挫，反擊時刻已至！ 各派俠士，都隨貧道開門出去迎擊！"
Story/D_8_2_6_2_4_033,"不。"
Story/D_8_2_6_2_4_032,"師兄！不攔著嗎？"
Story/D_8_2_6_2_4_031,"很有道理。"
Story/D_8_2_6_2_4_030,"簡單，搶先攻擊。"
Story/D_8_2_6_2_4_024,"武林盟的人闖到堡外了，他們都有輕功內功， 四面八方包圍過來，大門壁壘攔不了多久的！ 萬一他們衝進來縱火該如何是好？"
